,momentum,volatility,strength,breadth,safe_haven,put_call
1996-09-11,,,0.0,-3.6025130475106013,,
1996-09-12,,,0.5,-3.4929652206904915,,
1996-09-13,,,0.0,-3.7669715442013114,,
1996-09-16,,,0.5,-5.263885808891983,,
1996-09-17,,,0.5,-2.852270207275257,,
1996-09-18,,,0.5,-0.5154938059524813,,
1996-09-19,,,0.5,-2.60358584123385,,
1996-09-20,,,0.5,-3.2211156882822416,,
1996-09-23,,,0.5,-4.27182192677638,,
1996-09-24,,,0.5,-4.767854303726129,,
1996-09-25,,,0.5,-3.355517157594105,,
1996-09-26,,,0.5,-5.290877674395178,,
1996-09-27,,,0.5,-6.328899915414237,,
1996-09-30,,,0.0,-5.178190839884374,,
1996-10-01,,,0.0,-5.1457925053599425,,
1996-10-02,,,0.0,-4.21019386802177,,
1996-10-03,,,0.0,-5.262885892017812,,
1996-10-04,,,0.0,-6.669633911650939,,
1996-10-07,,,0.0,-8.72970047316895,,
1996-10-08,,,0.0,-6.23339129622914,,
1996-10-09,,,0.0,-4.37277469691475,,
1996-10-10,,,0.5,-0.3049974792938833,,
1996-10-11,,,1.0,1.9322747896686423,,
1996-10-14,,,0.5,-1.5099569902711132,,
1996-10-15,,,0.5,-0.5081466284036374,,
1996-10-16,,,0.0,-0.9612108777847946,,
1996-10-17,,,0.5,-0.9682634454602865,,
1996-10-18,,,0.5,0.29869354462340264,,
1996-10-21,,,0.5,0.2443856274191476,,
1996-10-22,,,0.5,3.2908609678883955,,
1996-10-23,,,0.5,5.237977155545052,,
1996-10-24,,,0.5,1.3765267636277678,,
1996-10-25,,,0.5,2.2171582611499923,,
1996-10-28,,,0.5,2.1776749409409026,,
1996-10-29,,,0.5,0.14537040622437344,,
1996-10-30,,,0.5,0.11893942327448734,,
1996-10-31,,,0.5,-1.3572313809572385,,
1996-11-01,,,0.5,-2.9286438571468323,,
1996-11-04,,,0.5,-5.305254064938319,,
1996-11-05,,,0.0,-4.886116962222261,,
1996-11-06,,,0.0,-6.179550241818214,,
1996-11-07,,,0.0,-3.6014501978512645,,
1996-11-08,,,0.5,-1.3102774346055786,,
1996-11-11,,,0.5,-0.16295426467729074,,
1996-11-12,,,1.0,0.41212832890039885,,
1996-11-13,,,0.5,0.5190140872821446,,
1996-11-14,,,0.5,0.24282970777629995,,
1996-11-15,,,0.5,0.7441333972715185,,
1996-11-18,,,0.0,0.6088364159494242,,
1996-11-19,,,0.0,-0.7745883869504719,,
1996-11-20,,,0.0,-2.6337541347776603,,
1996-11-21,,,0.0,-3.4276170193635407,,
1996-11-22,,,0.0,-4.258959379479261,,
1996-11-25,,,0.0,-4.030057674119395,,
1996-11-26,,,0.0,-2.75186536973405,,
1996-11-27,,,0.0,-4.251526211600588,,
1996-11-28,,,0.0,-3.478521445855026,,
1996-11-29,,,0.0,-1.2096993647904744,,
1996-12-02,,,0.0,-2.626117662101298,,
1996-12-03,,,0.0,-2.875914450810153,,
1996-12-04,,,0.0,-5.262111823390127,,
1996-12-05,,,0.0,-1.7599096736828284,,
1996-12-06,,,0.0,0.37825572153223264,,
1996-12-09,,,0.6666666666666666,1.0367546812536452,,
1996-12-10,,,0.5,0.8482538301166188,,
1996-12-11,,,0.5,3.239480406459053,,
1996-12-12,,,0.5,0.28684760528467784,,
1996-12-13,,,0.5,-0.4925792320398095,,
1996-12-16,,,0.6666666666666666,1.7787988101492482,,
1996-12-17,,,0.3333333333333333,1.0917444810312027,,
1996-12-18,,,1.0,3.984154575389168,,
1996-12-19,,,1.0,4.168853743500228,,
1996-12-20,,,1.0,6.138153062863824,,
1996-12-23,,,1.0,4.658488869615855,,
1996-12-24,,,0.5,3.447854529685699,,
1996-12-25,,,0.5,2.8209718879246624,,
1996-12-26,,,0.75,4.3080679083019975,,
1996-12-27,,,0.75,3.52478283406527,,
1996-12-30,,,0.75,2.883913227871584,,
1996-12-31,,,0.5,0.35956536825856705,,
1997-01-01,,,0.75,3.385098937666102,,
1997-01-02,,,1.0,2.58780822172681,,
1997-01-03,,,0.5,2.480933999594663,,
1997-01-06,,,1.0,1.666218726941087,,
1997-01-07,,,1.0,2.0905425947699805,,
1997-01-08,,,1.0,4.437716668448168,,
1997-01-09,,,1.0,4.358131819639411,,
1997-01-10,,,1.0,7.020289670614066,,
1997-01-13,,,1.0,5.925691548684234,,
1997-01-14,,,1.0,6.302838539832555,,
1997-01-15,,,1.0,8.611413350772091,,
1997-01-16,,,0.5,3.9547927415407984,,
1997-01-17,,,0.5,2.5084667885333793,,
1997-01-20,,,0.5,0.23420009970912709,,
1997-01-21,,,0.5,-1.8083817366016246,,
1997-01-22,,,0.5,1.4295058518714001,,
1997-01-23,,,0.5,1.1695956969856909,,
1997-01-24,,,1.0,-0.31578533882989024,,
1997-01-27,,,1.0,2.65072108641191,,
1997-01-28,,,1.0,3.4414990707006536,,
1997-01-29,,,1.0,3.543044694209626,,
1997-01-30,,,0.5,1.807945658898784,,
1997-01-31,,,0.5,-0.3389535518100872,,
1997-02-03,,,0.5,-2.4591438151173453,,
1997-02-04,,,0.5,-0.7392994850960087,,
1997-02-05,,,0.5,0.4860276940123573,,
1997-02-06,,,0.5,0.5794772041919287,,
1997-02-07,,,0.5,1.5650268034297607,,
